,S/N,Date/Day,1st,2nd,3rd,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol
,100,21 Mar 2001 (Wed),9226,1368,0553,8865,0930,4156,4560,5762,6406,6631,6835,9928,2567,8702,3119,4873,5123,7189,7578,9007,8354,9224,7810
,101,24 Mar 2001 (Sat),9479,2064,1000,0572,1168,1241,1245,4267,4577,1470,4638,7871,7478,6523,7403,2472,6689,7305,8048,8231,9360,9694,1847
,102,25 Mar 2001 (Sun),9298,1038,1329,1545,8303,0223,2043,3384,5655,6341,7305,7437,9902,7248,6422,9609,0410,1705,3570,4673,4681,5508,7008
,103,28 Mar 2001 (Wed),6362,0449,0306,7211,0899,9821,8651,2332,4068,4552,4996,6540,6583,9680,8106,3446,0323,1751,2666,3244,5836,7587,8085
,104,31 Mar 2001 (Sat),4045,9743,1202,1845,9034,1293,2836,3336,4557,5170,5474,7794,9842,4478,5987,9049,9793,9057,1160,0325,0536,0865,4416
,105,01 Apr 2001 (Sun),7477,0598,4881,7511,0670,8245,8202,0210,1010,3461,4932,5539,5800,4262,7160,7265,8219,9416,9699,5541,0087,1544,3142
,106,04 Apr 2001 (Wed),1181,0884,7123,7244,0213,7729,8802,4157,4385,4697,5305,6550,6584,1938,2132,2225,4645,5269,6065,5278,2137,1574,9317
,107,07 Apr 2001 (Sat),3434,2178,7431,6235,1324,7787,6325,3292,4193,5188,5208,5269,5661,0332,0354,1273,4339,5684,6346,6505,9376,7355,3434
,108,08 Apr 2001 (Sun),5067,7199,0969,4432,7300,8683,8353,1047,3198,3500,3646,5123,5235,6492,1963,5247,5355,7625,8294,9161,9925,0881,2334
,109,11 Apr 2001 (Wed),5216,8935,5185,4271,4549,8462,9470,1312,9210,1206,1379,1723,2139,9818,0441,0613,1391,3534,4790,4870,6949,9785,6834
,110,14 Apr 2001 (Sat),2762,7537,3016,2454,1827,3888,6900,7246,6312,1557,9662,9518,0005,7872,0917,8055,4557,2563,9415,3968,0852,7831,6767
,111,15 Apr 2001 (Sun),8136,3741,4807,1218,1386,1988,3871,5670,7271,9122,1238,8623,1066,1773,0342,0498,1199,3470,3551,3660,4269,5978,7361
,112,18 Apr 2001 (Wed),9808,9867,1816,8893,0241,3295,4856,5026,7753,7793,8882,2435,9162,7260,0616,1038,4398,4630,5192,5341,8056,7076,6978
,113,21 Apr 2001 (Sat),7351,9887,1934,9447,9936,5397,5453,6308,6937,7752,8130,8519,4097,6456,1281,9541,2139,5603,7220,7539,7760,9218,8647
,114,22 Apr 2001 (Sun),8847,1653,2718,2218,9879,9749,2965,6232,6397,7292,8191,8258,8796,3983,3198,3635,3870,4416,5089,5196,6106,9483,7831
,115,25 Apr 2001 (Wed),3203,2954,0048,8842,9541,1404,2191,3174,6912,7141,7431,2203,9192,8154,3585,8766,0898,1040,1082,3974,7203,7935,8018
,116,28 Apr 2001 (Sat),4528,5656,5428,8577,9740,8932,1838,2288,2746,4426,6052,7805,3829,5774,0834,5601,8203,1727,2416,2611,3256,3580,4273
,117,29 Apr 2001 (Sun),8700,9769,4160,7869,9563,9462,2112,3741,4578,7277,7599,7829,4821,7460,8455,0570,7455,7911,2711,4300,5791,7146,7349
,118,02 May 2001 (Wed),8787,4979,7329,7477,9282,6742,0736,2191,2990,3166,3569,5701,8355,2495,5955,3522,5885,6787,3223,8306,3867,0056,0675
,119,05 May 2001 (Sat),4153,6024,6173,9680,1415,1941,2071,4057,4398,5517,5945,3215,7074,1365,2390,3843,5360,5833,7379,9647,9003,4970,0051
,120,06 May 2001 (Sun),6548,4186,2366,2135,8333,7193,9577,0404,1036,4962,5130,6630,6675,0291,2744,3541,6303,7336,8265,9177,9037,9415,9293
,121,09 May 2001 (Wed),3156,3067,2461,9208,0743,2700,0636,9701,4886,5606,5721,4244,9731,6664,0560,7968,8220,9378,1464,2560,0036,4631,5489
,122,12 May 2001 (Sat),3394,2118,9343,1968,6594,7770,1001,7043,2680,5071,8270,2095,0551,6850,7636,9184,5212,4059,9492,1840,1903,3535,5942
,123,13 May 2001 (Sun),6750,7191,8228,3308,6162,7903,8376,5893,8508,9287,8533,0855,2274,5509,0100,0696,0981,1741,3059,8588,5234,0029,3707
,124,16 May 2001 (Wed),3997,3913,6648,0488,1040,3378,5247,6126,6847,4761,7529,8921,8867,9139,2740,5666,6311,6445,6488,8618,9512,0344,7695
,125,19 May 2001 (Sat),1879,7668,7457,1163,2217,2710,4774,4933,5628,6520,6202,7342,6083,9722,8001,1466,2218,2598,8552,4545,8271,9055,3256
,126,20 May 2001 (Sun),3187,7882,0195,9243,0495,1409,9180,6259,7309,7457,8359,3733,9599,6572,1099,1181,3312,6502,8871,9531,9539,9797,9989
,127,23 May 2001 (Wed),6123,1623,4843,7169,0055,3510,9175,0485,5894,9839,4218,4479,0796,4088,1603,5024,8283,7297,1757,8101,8000,5062,6298
,128,26 May 2001 (Sat),3381,2742,6857,9871,1952,2580,3920,1087,0991,4806,0240,1924,6937,4616,1044,7744,6122,5232,0192,9718,8181,5790,2330
,129,27 May 2001 (Sun),2727,7654,7629,3583,5100,5505,3386,8333,2723,8172,4879,8904,7301,4036,7111,9221,3051,2017,1907,7137,8308,1275,2973
,130,30 May 2001 (Wed),0297,2086,6948,7212,0537,5679,0487,1166,2370,2670,4382,5135,5400,4254,4560,5746,6480,4916,9275,1139,1750,2126,3162
,131,02 Jun 2001 (Sat),6397,8398,5682,4124,6992,3114,6884,6096,4505,3836,1971,8753,7568,3097,9034,8932,4250,5116,5288,0260,2731,5886,3259
,132,03 Jun 2001 (Sun),5227,2551,7448,1074,9046,0355,3175,4991,5491,5578,8365,8464,9666,0613,1709,2253,5877,6147,6578,7042,9205,7438,2704
,133,06 Jun 2001 (Wed),8995,1535,2666,6972,1103,8494,7095,0136,1966,3153,4660,4876,5331,4501,1492,1496,2951,3934,4714,7779,8412,9412,9479
,134,09 Jun 2001 (Sat),0094,1389,5023,4749,3578,7738,0922,0851,8393,4448,1643,3083,3537,0338,6824,8212,8787,6185,0295,9259,4008,8731,1204
,135,10 Jun 2001 (Sun),4469,6317,4224,1306,3051,3456,4850,7810,6164,9215,6016,1161,1238,3672,2850,3040,4736,5434,5501,5593,7087,6467,7288
,136,13 Jun 2001 (Wed),3445,9290,8037,2609,7338,9217,2217,9783,0544,4500,4707,3255,3541,5360,4592,0649,4616,4030,5560,4269,7540,4902,1385
,137,16 Jun 2001 (Sat),0549,4387,2266,1653,1780,2761,7565,8694,9294,9740,1106,9449,0339,7918,0800,1470,1837,2502,2676,2914,4959,6654,3939
,138,17 Jun 2001 (Sun),1413,2725,1574,8009,7321,2062,2062,4065,4583,6643,6820,7245,1298,2713,0202,0619,1014,1460,2763,3114,4172,9725,6879
,139,20 Jun 2001 (Wed),8216,9116,7029,6110,0967,9040,1089,1377,9679,5630,9393,8556,1177,0155,4064,1148,9599,5006,6258,5028,1843,9992,2412
,140,23 Jun 2001 (Sat),0986,8079,9872,0128,8884,0089,1365,2387,2841,6472,6890,8299,9590,7039,1171,1718,1856,3755,4568,4987,8672,7566,8623
,141,24 Jun 2001 (Sun),6301,0527,4981,8767,0119,9331,9140,0676,1612,3054,4636,4911,6301,9829,9682,4855,0469,3189,3189,3829,4931,5318,9221
,142,27 Jun 2001 (Wed),6741,2722,5535,2165,4624,5621,3278,6801,4775,5642,5509,7970,0725,4720,2916,7651,7510,3464,7974,0374,6570,7728,5304
,143,30 Jun 2001 (Sat),0381,6047,5853,2632,9338,7943,4754,7069,3906,6841,0891,3195,3478,5512,2514,4357,4735,6679,9067,3512,7169,3338,1618
,144,01 Jul 2001 (Sun),7833,2958,5623,8778,0267,9946,9144,1052,2895,3651,5746,6103,7812,3184,3623,5193,5450,7807,9351,9175,4285,0909,2979
,145,04 Jul 2001 (Wed),0150,2040,9241,2245,8092,0842,3709,3799,3895,4239,4475,5766,8694,0430,1028,2146,4340,5114,7464,8238,8961,8435,3164
,146,07 Jul 2001 (Sat),2515,0879,9262,7573,9070,1373,9651,9469,0735,2139,2752,2932,6102,4613,0948,1646,2821,3396,6492,6759,7204,7555,8031
,147,08 Jul 2001 (Sun),0118,0516,3453,5456,5497,5880,0038,7286,9506,0103,0172,0694,1591,3536,1416,9704,2021,3110,3721,5262,5341,8957,5686
,148,11 Jul 2001 (Wed),1687,1366,3468,3198,4608,5133,5645,5934,0544,9739,8206,0988,2070,5388,0523,1390,2756,7334,7759,8117,9274,9873,9440
,149,14 Jul 2001 (Sat),2821,0594,5466,3214,5708,5972,4065,8044,9912,8501,0609,1910,2587,1454,6712,0923,1678,2054,7789,8605,9679,9845,0800
,150,15 Jul 2001 (Sun),3427,6724,4100,2280,3223,3547,3786,4360,5857,8344,1597,7247,1113,9310,1815,3584,5554,5829,5953,6257,7434,8058,6938
,151,18 Jul 2001 (Wed),4624,5200,3635,1649,9095,2873,1607,1959,1881,5405,5128,7897,4145,3019,2504,7924,4879,1534,4868,1916,0933,6383,3913
,152,21 Jul 2001 (Sat),4454,2005,1471,6578,7718,2987,7327,8139,7312,8394,1485,0094,2923,1819,3880,4900,3331,2301,3708,6344,5065,3172,4214
,153,22 Jul 2001 (Sun),1542,8191,5142,8432,2593,8554,8448,0265,3907,5258,6822,7556,7993,9063,5780,0802,3957,5365,5768,6478,7262,7312,7987
,154,25 Jul 2001 (Wed),6498,3196,6079,8363,1343,8810,9532,1512,1692,3167,3371,3648,7537,7586,7434,3558,0219,9288,0608,1497,3712,5218,6802
,155,28 Jul 2001 (Sat),5507,8197,1205,8537,0924,9912,9108,3417,4273,5365,6441,7507,7509,7292,8134,9212,8816,2942,0666,0859,1634,5390,5960
,156,29 Jul 2001 (Sun),9714,1330,3686,4925,0152,2422,2470,3277,4295,4297,8745,3685,6477,4713,4777,6614,6693,0586,3682,1429,2739,3151,3339
,157,01 Aug 2001 (Wed),2628,3883,7181,9723,0409,9248,0400,1109,1425,2790,3681,5881,5991,2692,4288,4484,4775,5860,7193,5389,7973,0316,0451
